"Age","LearningCategorySelftTaught","LearningCategoryOnlineCourses","LearningCategoryWork","LearningCategoryUniversity","LearningCategoryKaggle","GenderSelect","Country","EmploymentStatus","DataScienceIdentitySelect","FormalEducation","MajorSelect","Tenure","FirstTrainingSelect","ParentsEducation","EmployerIndustry","EmployerSize","EmployerSizeChange","EmployerMLTime","EmployerSearchMethod","RemoteWork","CompensationAmount","CompensationCurrency","FormalEducation_Q","Tenure_Q","EmployerSize_Q","...1","exchangeRate","frac","Salary_USD","Compensation_Median_USD","Median_to_Salary"
39,15,0,30,55,0,"Female","United States","Employed full-time","Yes","Master's degree","Engineering (non-computer focused)","1 to 2 years","University courses","A bachelor's degree","Insurance","10,000 or more employees","Stayed the same","3-5 years","A general-purpose job board","Sometimes",115000,"USD",5,2,8,1,1,1,115000,110000,0.956521739130435
40,40,20,40,0,0,"Male","Hungary","Employed full-time","Sort of (Explain more)","Doctoral degree","A social science","3 to 5 years","University courses","A doctoral degree","Academic","100 to 499 employees","Stayed the same","More than 10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Most of the time",4e+06,"HUF",6,3,4,26,0.003896,1,15584,14960.64,0.96
30,5,75,0,20,0,"Female","United States","Employed full-time","No","Bachelor's degree","","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","CRM/Marketing","100 to 499 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",80000,"USD",4,2,4,1,1,1,80000,110000,1.375
50,0,0,60,40,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Mathematics or statistics","More than 10 years","University courses","High school","Insurance","500 to 999 employees","Increased significantly","6-10 years","Some other way","Rarely",135000,"USD",6,5,5,1,1,1,135000,110000,0.814814814814815
59,20,80,0,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","","Master's degree","Physics","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Other","","","","","Most of the time",75000,"USD",5,2,NA,1,1,1,75000,110000,1.46666666666667
34,60,5,35,0,0,"Male","Spain","Employed full-time","No","Professional degree","","3 to 5 years","Self-taught","Primary/elementary school","Internet-based","10 to 19 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",80000,"EUR",2,3,2,2,1.195826,0.98,95666.08,46637.214,0.4875
25,0,50,0,50,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","I don't know","Stayed the same","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",1500,"BRL",5,2,10,5,0.32135,0.91,482.025,32135,66.6666666666667
32,30,30,10,20,10,"Male","Brazil","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","A bachelor's degree","Academic","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",25000,"BRL",5,3,4,5,0.32135,0.91,8033.75,32135,4
38,30,30,30,0,0,"Male","Hungary","Employed full-time","Sort of (Explain more)","Bachelor's degree","Computer Science","3 to 5 years","Self-taught","Primary/elementary school","Technology","20 to 99 employees","Increased slightly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",372000,"HUF",4,3,3,26,0.003896,1,17391.744,14960.64,0.860215053763441
38,20,60,0,20,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Bachelor's degree","Information technology, networking, or system administration","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","20 to 99 employees","Increased significantly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",60000,"BRL",4,1,3,5,0.32135,0.91,19281,32135,1.66666666666667
31,80,0,20,0,0,"Male","Russia","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","6 to 10 years","Work","No education","CRM/Marketing","","","","","Always",840000,"RUB",3,4,NA,6,0.017402,0.76,14617.68,22622.6,1.54761904761905
31,50,50,0,0,0,"Female","United Kingdom","Employed full-time","Sort of (Explain more)","Doctoral degree","A social science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Government","1,000 to 4,999 employees","Decreased slightly","Less than one year","A tech-specific job board","Never",29000,"GBP",6,2,6,4,1.324188,0.96,38401.452,66209.4,1.72413793103448
30,30,50,20,0,0,"Male","United Kingdom","Employed full-time","Yes","Bachelor's degree","A social science","3 to 5 years","Self-taught","High school","Technology","10,000 or more employees","Increased significantly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","",45000,"GBP",4,3,8,4,1.324188,0.96,59588.46,66209.4,1.11111111111111
49,90,0,10,0,0,"Male","United States","Employed full-time","Yes","I did not complete any formal education past high school","","More than 10 years","Self-taught","High school","Financial","500 to 999 employees","Increased significantly","Don't know","A friend, family member, or former colleague told me","Always",85000,"USD",1,5,5,1,1,1,85000,110000,1.29411764705882
37,15,60,10,10,5,"Male","Spain","Independent contractor, freelancer, or self-employed","","Master's degree","Electrical Engineering","3 to 5 years","University courses","Primary/elementary school","Academic","","","","","Most of the time",12000,"EUR",5,3,NA,2,1.195826,0.98,14349.912,46637.214,3.25
62,0,100,0,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Master's degree","Other","More than 10 years","Online courses (coursera, udemy, edx, etc.)","A professional degree","Non-profit","","","","","Always",65000,"USD",5,5,NA,1,1,1,65000,110000,1.69230769230769
58,30,70,0,0,0,"Male","Poland","Independent contractor, freelancer, or self-employed","Yes","Master's degree","","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Financial","","","","","Sometimes",3000,"PLN",5,2,NA,11,0.281104,0.92,10119.744,25299.36,2.5
38,30,15,20,35,0,"Male","United States","Independent contractor, freelancer, or self-employed","","Doctoral degree","Biology","6 to 10 years","University courses","A doctoral degree","Internet-based","","","","","Rarely",130000,"USD",6,4,NA,1,1,1,130000,110000,0.846153846153846
27,25,0,75,0,0,"Male","United States","Employed full-time","No","Bachelor's degree","","Less than a year","Work","A bachelor's degree","Other","1,000 to 4,999 employees","Increased significantly","6-10 years","An external recruiter or headhunter","Sometimes",55000,"USD",4,1,6,1,1,1,55000,110000,2
26,10,85,5,0,0,"Male","France","Employed full-time","No","Master's degree","A health science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Government","500 to 999 employees","Stayed the same","Don't know","Some other way","Don't know",25000,"EUR",5,1,5,2,1.195826,0.99,29895.65,55605.909,1.86
23,85,5,0,10,0,"A different identity","Canada","Employed full-time","Yes","Bachelor's degree","Electrical Engineering","3 to 5 years","Self-taught","A doctoral degree","Academic","1,000 to 4,999 employees","Increased significantly","More than 10 years","A career fair or on-campus recruiting event","Rarely",85000,"USD",4,3,6,1,1,0.05,85000,74131.92,0.872140235294118
23,10,60,10,20,0,"Male","India","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Technology","Fewer than 10 employees","Increased slightly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",360000,"INR",5,2,1,3,0.01562,0.94,5623.2,15114.75,2.6879268032437
23,5,25,50,20,0,"Female","Poland","Employed part-time","","Bachelor's degree","Mathematics or statistics","Less than a year","University courses","A master's degree","Financial","5,000 to 9,999 employees","Stayed the same","1-2 years","I visited the company's Web site and found a job listing there","Never",20000,"PLN",4,1,7,11,0.281104,0.92,5622.08,25299.36,4.5
31,50,0,50,0,0,"Female","United States","Employed full-time","Sort of (Explain more)","Master's degree","Other","More than 10 years","Work","A master's degree","Insurance","20 to 99 employees","Increased significantly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",92000,"USD",5,5,3,1,1,1,92000,110000,1.19565217391304
31,50,0,0,50,0,"Female","United States","Employed full-time","","Master's degree","Fine arts or performing arts","3 to 5 years","University courses","A doctoral degree","Other","5,000 to 9,999 employees","Decreased slightly","1-2 years","A friend, family member, or former colleague told me","Never",79000,"USD",5,3,7,1,1,1,79000,110000,1.39240506329114
50,80,20,0,0,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Physics","More than 10 years","Online courses (coursera, udemy, edx, etc.)","","Financial","10,000 or more employees","Increased significantly","1-2 years","Some other way","",305000,"USD",6,5,8,1,1,1,305000,110000,0.360655737704918
72,80,10,10,0,0,"Male","United States","Employed full-time","","Doctoral degree","Mathematics or statistics","More than 10 years","Self-taught","A doctoral degree","Academic","100 to 499 employees","Increased slightly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",250000,"USD",6,5,4,1,1,1,250000,110000,0.44
37,30,30,40,0,0,"Male","United States","Employed full-time","","Doctoral degree","Biology","6 to 10 years","Other","A master's degree","Technology","10 to 19 employees","Increased slightly","3-5 years","A friend, family member, or former colleague told me","Sometimes",90000,"USD",6,4,2,1,1,1,90000,110000,1.22222222222222
30,10,0,40,50,0,"Male","New Zealand","Employed full-time","Yes","Bachelor's degree","Computer Science","6 to 10 years","Work","Primary/elementary school","Government","1,000 to 4,999 employees","Increased slightly","3-5 years","An external recruiter or headhunter","Rarely",90000,"NZD",4,4,6,27,0.727801,1,65502.09,61863.085,0.944444444444445
24,10,0,30,50,10,"Male","France","Employed full-time","","Master's degree","Mathematics or statistics","1 to 2 years","University courses","A master's degree","Mix of fields","20 to 99 employees","Increased significantly","More than 10 years","A career fair or on-campus recruiting event","Don't know",40000,"EUR",5,2,3,2,1.195826,0.99,47833.04,55605.909,1.1625
26,30,0,0,20,50,"Male","Netherlands","Employed full-time","Yes","Master's degree","Information technology, networking, or system administration","1 to 2 years","University courses","Some college/university study, no bachelor's degree","Financial","500 to 999 employees","Increased significantly","1-2 years","A friend, family member, or former colleague told me","Sometimes",35000,"EUR",5,2,5,2,1.195826,1,41853.91,77130.777,1.84285714285714
37,99,0,1,0,0,"Male","Chile","Employed full-time","Yes","Professional degree","","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A professional degree","Government","10 to 19 employees","Increased slightly","1-2 years","A general-purpose job board","Sometimes",8e+05,"CLP",2,3,2,34,0.001606,0.71,15417.6,38544,2.5
24,10,0,60,30,0,"Female","Germany","Employed part-time","Yes","Bachelor's degree","","1 to 2 years","University courses","A bachelor's degree","Academic","10 to 19 employees","Stayed the same","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Never",480,"EUR",4,2,2,2,1.195826,0.99,573.99648,71749.56,125
52,40,40,10,0,10,"Male","United States","Independent contractor, freelancer, or self-employed","Yes","Master's degree","Biology","More than 10 years","Online courses (coursera, udemy, edx, etc.)","High school","Other","","","","","Most of the time",140000,"USD",5,5,NA,1,1,1,140000,110000,0.785714285714286
35,30,32,25,10,3,"Male","United States","Employed full-time","","Doctoral degree","Biology","More than 10 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Internet-based","1,000 to 4,999 employees","Increased significantly","6-10 years","I visited the company's Web site and found a job listing there","Rarely",160000,"USD",6,5,6,1,1,1,160000,110000,0.6875
28,20,15,25,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","","Bachelor's degree","A social science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Non-profit","","","","","Always",25000,"USD",4,2,NA,1,1,1,25000,110000,4.4
25,54,0,24,20,2,"Male","Czech Republic","Employed full-time","Yes","Master's degree","Mathematics or statistics","3 to 5 years","University courses","High school","Mix of fields","100 to 499 employees","Increased significantly","More than 10 years","A friend, family member, or former colleague told me","Sometimes",25000,"CZK",5,3,4,28,0.04582,0.86,13746,24742.8,1.8
28,10,5,65,20,0,"Female","United States","Employed full-time","Yes","Master's degree","Electrical Engineering","6 to 10 years","University courses","A doctoral degree","Mix of fields","1,000 to 4,999 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",80000,"USD",5,4,6,1,1,1,80000,110000,1.375
26,0,50,10,30,10,"Male","Poland","Employed full-time","","Master's degree","Mathematics or statistics","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","A general-purpose job board","Sometimes",96,"PLN",5,2,8,11,0.281104,0.92,26985.984,25299.36,0.9375
30,30,50,0,0,20,"Male","France","Employed full-time","Sort of (Explain more)","Doctoral degree","Biology","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Pharmaceutical","10,000 or more employees","","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Never",33000,"EUR",6,2,8,2,1.195826,0.99,39462.258,55605.909,1.40909090909091
30,20,25,55,0,0,"Male","Czech Republic","Independent contractor, freelancer, or self-employed","","Master's degree","Computer Science","More than 10 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","","","","","Sometimes",1400000,"CZK",5,5,NA,28,0.04582,0.86,64148,24742.8,0.385714285714286
26,55,10,10,25,0,"Male","United States","Employed full-time","Sort of (Explain more)","Bachelor's degree","Mathematics or statistics","6 to 10 years","University courses","A master's degree","CRM/Marketing","20 to 99 employees","Stayed the same","6-10 years","A friend, family member, or former colleague told me","Sometimes",85000,"USD",4,4,3,1,1,1,85000,110000,1.29411764705882
39,10,90,0,0,0,"Male","United States","Employed full-time","No","I prefer not to answer","","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","I prefer not to answer","Technology","10,000 or more employees","Increased significantly","More than 10 years","A friend, family member, or former colleague told me","Sometimes",180000,"USD",7,4,8,1,1,1,180000,110000,0.611111111111111
23,10,10,10,55,15,"Male","United Kingdom","Employed full-time","Yes","Master's degree","Other","1 to 2 years","University courses","High school","Insurance","10,000 or more employees","Increased slightly","1-2 years","An external recruiter or headhunter","Rarely",42500,"GBP",5,2,8,4,1.324188,0.96,56277.99,66209.4,1.17647058823529
34,50,30,10,10,0,"Male","Russia","Independent contractor, freelancer, or self-employed","Yes","Professional degree","","3 to 5 years","Self-taught","Some college/university study, no bachelor's degree","Other","","","","","Always",3600000,"RUB",2,3,NA,6,0.017402,0.76,62647.2,22622.6,0.361111111111111
26,30,0,10,60,0,"Male","United States","Employed full-time","Sort of (Explain more)","Master's degree","Other","1 to 2 years","Self-taught","A doctoral degree","Manufacturing","100 to 499 employees","Stayed the same","Less than one year","An external recruiter or headhunter","Rarely",80000,"USD",5,2,4,1,1,1,80000,110000,1.375
24,40,40,10,0,10,"Male","South Africa","Employed full-time","","Bachelor's degree","Electrical Engineering","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","High school","Mix of fields","10 to 19 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Sometimes",360000,"ZAR",4,2,2,13,0.077002,0.96,27720.72,46201.2,1.66666666666667
52,0,20,10,70,0,"Male","Canada","Employed full-time","No","Bachelor's degree","Computer Science","1 to 2 years","University courses","A master's degree","Academic","100 to 499 employees","Increased slightly","1-2 years","A tech-specific job board","Always",90000,"USD",4,2,4,1,1,0.05,90000,74131.92,0.823688
42,30,40,30,0,0,"Male","United States","Employed full-time","","Bachelor's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","CRM/Marketing","20 to 99 employees","Increased slightly","Less than one year","A friend, family member, or former colleague told me","Most of the time",180000,"USD",4,1,3,1,1,1,180000,110000,0.611111111111111
26,30,40,20,10,0,"Male","Russia","Independent contractor, freelancer, or self-employed","Yes","Bachelor's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Military/Security","","","","","Always",60000,"RUB",4,1,NA,6,0.017402,0.76,12529.44,22622.6,1.80555555555556
27,60,5,25,10,0,"Male","United States","Employed full-time","","Master's degree","Management information systems","3 to 5 years","Self-taught","Some college/university study, no bachelor's degree","Financial","1,000 to 4,999 employees","Increased significantly","1-2 years","A friend, family member, or former colleague told me","Sometimes",155000,"USD",5,3,6,1,1,1,155000,110000,0.709677419354839
52,10,0,40,50,0,"Male","United States","Employed full-time","Sort of (Explain more)","Doctoral degree","Electrical Engineering","More than 10 years","University courses","A bachelor's degree","Other","10,000 or more employees","Increased significantly","More than 10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",170075,"USD",6,5,8,1,1,1,170075,110000,0.646773482287226
25,30,10,50,5,5,"Male","India","Employed full-time","","Bachelor's degree","Other","3 to 5 years","Work","A doctoral degree","Insurance","20 to 99 employees","Increased significantly","1-2 years","A friend, family member, or former colleague told me","Sometimes",1200000,"INR",4,3,3,3,0.01562,0.94,18744,15114.75,0.806378040973111
38,65,5,0,0,30,"Male","Australia","Employed full-time","Yes","Doctoral degree","A humanities discipline","6 to 10 years","Self-taught","A doctoral degree","Technology","10,000 or more employees","Increased significantly","More than 10 years","A friend, family member, or former colleague told me","Always",3e+05,"AUD",6,4,8,8,0.80231,0.98,240693,96277.2,0.4
25,80,0,0,20,0,"Female","United States","Employed full-time","Yes","Doctoral degree","Electrical Engineering","3 to 5 years","Self-taught","A doctoral degree","Academic","I don't know","Increased slightly","Don't know","Some other way","Sometimes",30000,"USD",6,3,10,1,1,1,30000,110000,3.66666666666667
25,45,20,30,5,0,"Male","Czech Republic","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Master's degree","Computer Science","3 to 5 years","Self-taught","A master's degree","Internet-based","","","","","Most of the time",36000,"USD",5,3,NA,1,1,0.14,36000,24742.8,0.6873
27,30,30,40,0,0,"Male","South Korea","Employed full-time","Sort of (Explain more)","Bachelor's degree","Mathematics or statistics","1 to 2 years","Work","A master's degree","Financial","10,000 or more employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Always",4e+07,"KRW",4,2,8,22,0.000886,0.8,35440,37212,1.05
31,75,5,0,0,20,"Male","United States","Employed full-time","Yes","Doctoral degree","Physics","6 to 10 years","Self-taught","A master's degree","Academic","I don't know","Increased slightly","1-2 years","Some other way","Rarely",49000,"USD",6,4,10,1,1,1,49000,110000,2.24489795918367
22,50,10,25,5,10,"Male","Russia","Independent contractor, freelancer, or self-employed","Yes","Bachelor's degree","Computer Science","3 to 5 years","Self-taught","A master's degree","Mix of fields","","","","","Most of the time",18000,"USD",4,3,NA,1,1,0.21,18000,22622.6,1.25681111111111
58,10,20,60,10,0,"Male","New Zealand","Employed full-time","","Doctoral degree","","More than 10 years","Work","A doctoral degree","Telecommunications","100 to 499 employees","Increased slightly","1-2 years","A friend, family member, or former colleague told me","Sometimes",120000,"NZD",6,5,4,27,0.727801,1,87336.12,61863.085,0.708333333333333
31,5,5,85,5,0,"Female","United States","Employed full-time","No","Bachelor's degree","Other","Less than a year","Work","A professional degree","Pharmaceutical","100 to 499 employees","","Don't know","An external recruiter or headhunter","Sometimes",65000,"USD",4,1,4,1,1,1,65000,110000,1.69230769230769
30,0,30,20,50,0,"Male","Chile","Employed full-time","Yes","Doctoral degree","Electrical Engineering","3 to 5 years","University courses","A master's degree","Other","Fewer than 10 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",2e+06,"CLP",6,3,1,34,0.001606,0.71,38544,38544,1
25,30,25,0,45,0,"Male","Colombia","Employed full-time","Yes","Bachelor's degree","Computer Science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Internet-based","100 to 499 employees","Stayed the same","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Never",4e+06,"COP",4,3,4,17,0.000342,0.8,16416,18639,1.13541666666667
21,70,10,10,10,0,"Male","Mexico","Employed full-time","Sort of (Explain more)","Bachelor's degree","Other","1 to 2 years","Self-taught","A bachelor's degree","Academic","20 to 99 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",30000,"MXN",4,2,3,15,0.056414,0.86,20309.04,20309.04,1
